citation,citation_text,adj,pos_adj,neg_adj
Strappavara and Mihalcea 2007,"We tested SO-CAL with four different data sets: the Multi-Perspective Question Answering (MPQA) corpus, version 2.0 (Wiebe, Wilson, and Cardie 2005); a collection of MySpace.com comments from Mike Thelwall (Prabowo and Thelwall 2009); a set of news and blog posts from Alina Andreevskaia (Andreevskaia and Bergler 2008); and a set of headlines from Rada Mihalcea and Carlo Strappavara (Strappavara and Mihalcea 2007).20 The rst set of data is the MPQA corpus (version 2.0), a collection of news articles and other documents (texts from the American National Corpus and other sources) annotated for opinions and other private states (beliefs, emotions, speculation, etc.).","['emotions', 'other', 'alina', 'american', 'corpus', 'socal', 'different', 'national', 'mpqa', 'private', 'multiperspective']","(0, [])","(0, [])"
Subba and Di Eugenio 2009,"At the same time, we will investigate different aggregation strategies for the different types of relations in the text (see also Asher, Benamara, and Mathieu [2008, 2009] for preliminary work in this area), and build on existing discourse parsing systems and proposals (Schilder 2002; Soricut and Marcu 2003; Subba and Di Eugenio 2009).","['preliminary', 'same', 'different']","(0, [])","(0, [])"
Subrahmanian and Reforgiato 2008,"2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008).","['twoword', 'adverbs', 'exclusive', 'nonaffective', 'adjective', 'littman', 'argamon', 'subrahmanian', 'human']","(0, [])","(0, [])"
Taboada and Grieve (2004),"To build the system and run our experiments, we use the corpus described in Taboada and Grieve (2004) and Taboada, Anthony, and Voll (2006), which consists of a 400-text collection of Epinions reviews extracted from eight different categories: books, cars, computers, cookware, hotels, movies, music, and phones, a corpus we named Epinions 1. Taboada and Grieve (2004) improved performance of an earlier version of the SO calculator by assigning the most weight at the two-thirds mark of a text, and signi cantly less at the beginning.","['less', 'different', 'earlier', 'twothirds', 'most', 'text']","(0, [])","(0, [])"
Taboada and Grieve 2004,"Previous versions of SO-CAL (Taboada and Grieve 2004; Taboada, Anthony, and Voll 2006) relied on an adjective dictionary to predict the overall SO of a document, using a simple aggregate-and-average method: The individual scores for each adjective in a document are added together and then divided by the total number of adjectives in that document.4 As we describe subsequently, the current version of SO-CAL takes other parts of speech into account, and makes use of more sophisticated methods to determine the true contribution of each word. 2.8 Evaluation of Features To test the performance of all of SO-CAL s features, we used the following data sets: Epinions 1: Our original collection of 400 review texts (Taboada and Grieve 2004), used in various phases of development.","['simple', 'individual', 'account', 'true', 'current', 'other', 'various', 'total', 'previous', 'following', 'adjective', 'socal', 'sophisticated', 'overall', 'original']","(1, ['sophisticated'])","(0, [])"
"Taboada, Anthony, and Voll 2006","Much of the lexicon-based research has focused on using adjectives as indicators of the semantic orientation of text (Hatzivassiloglou and McKeown 1997; Wiebe 2000; Hu and Liu 2004; Taboada, Anthony, and Voll 2006).2 First, a list of adjectives and corresponding SO values is compiled into a dictionary. 2.1 Adjectives Much of the early research in sentiment focused on adjectives or adjective phrases as the primary source of subjective content in a document (Hatzivassiloglou and McKeown 1997; Hu and Liu 2004; Taboada, Anthony, and Voll 2006), albeit with some exceptions, especially more recently, which have also included the use of adverbs (Benamara et al. Previous versions of SO-CAL (Taboada and Grieve 2004; Taboada, Anthony, and Voll 2006) relied on an adjective dictionary to predict the overall SO of a document, using a simple aggregate-and-average method: The individual scores for each adjective in a document are added together and then divided by the total number of adjectives in that document.4 As we describe subsequently, the current version of SO-CAL takes other parts of speech into account, and makes use of more sophisticated methods to determine the true contribution of each word. Our rst comparison is with the dictionary of adjectives that was derived using the SO-PMI method (Turney 2002), using Google hit counts (Taboada, Anthony, and Voll 2006). We have already discussed the Google dictionary, which contains only adjectives, and whose results are not reliable (see also Taboada, Anthony, and Voll 2006). Lexicon-Based Methods for Sentiment Analysis approaches have emerged: the use of machine-learning classi ers trained on n-grams or similar features (Pang, Lee, and Vaithyanathan 2002), and the use of sentiment dictionaries (Esuli and Sebastiani 2006; Taboada, Anthony, and Voll 2006).","['account', 'previous', 'socal', 'overall', 'machinelearning', 'current', 'sopmi', 'recently', 'sophisticated', 'semantic', 'other', 'similar', 'primary', 'taboada', 'adjective', 'reliable', 'simple', 'individual', 'lexiconbased', 'true', 'dictionary', 'total', 'subjective', 'adjectives', 'early']","(2, ['sophisticated', 'reliable'])","(0, [])"
"Taboada, Brooke, and Stede 2009","In general, there is signi cantly less positive bias in the movie review domain, most likely due to the use of negative terms in plot and character description (Taboada, Brooke, and Stede 2009), thus the negative weighting that is appropriate for other domains is often excessive for movie reviews. The main conclusion of our work is that lexicon-based methods for sentiment analysis are robust, result in good cross-domain performance, and can be easily enhanced with multiple sources of knowledge (Taboada, Brooke, and Stede 2009).","['lexiconbased', 'positive', 'good', 'likely', 'multiple', 'other', 'signi', 'due', 'appropriate', 'main', 'excessive', 'negative', 'robust']","(4, ['positive', 'good', 'appropriate', 'robust'])","(2, ['excessive', 'negative'])"
"Taboada, Gillies, and McFetridge 2006","1966; Stone 1997).8 The sources provide a fairly good range in terms of register: The Epinions and movie reviews represent informal language, with words such as ass-kicking and nifty; at the other end of the spectrum, the General Inquirer was clearly built from much more formal texts, and contributed words such as adroit and jubilant, which may be more useful in the processing of literary reviews (Taboada, Gillies, and McFetridge 2006; Taboada et al.","['more', 'literary', 'such', 'good', 'general', 'other', 'useful', 'asskicking', 'formal', 'informal']","(2, ['good', 'useful'])","(0, [])"
Tong 2001,"1966; Tong 2001), or automatically, using seed words to expand the list of words (Hatzivassiloglou and McKeown 1997; Turney 2002; Turney and Littman 2003).",['tong'],"(0, [])","(0, [])"
Turney (2002),"2 With some exceptions: Turney (2002) uses two-word phrases; Whitelaw, Garg, and Argamon (2005) adjective phrases; and Benamara et al. 5 Something that Turney (2002) already partially addressed, by extracting two-word phrases.","['argamon', 'twoword', 'adjective', 'exceptions']","(0, [])","(0, [])"
Turney 2002,"There exist two main approaches to the problem of extracting sentiment automatically.1 The lexicon-based approach involves calculating orientation for a document from the semantic orientation of words or phrases in the document (Turney 2002). 1966; Tong 2001), or automatically, using seed words to expand the list of words (Hatzivassiloglou and McKeown 1997; Turney 2002; Turney and Littman 2003). 2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008). The association is usually calculated following Turney s method for computing mutual information (Turney 2002; Turney and Littman 2003), but see also Rao and Ravichandran (2009) and Velikovich et al. As noted already by Boucher and Osgood (1969), there is a strong preference for avoiding negation and negative terms even when expressing negative opinions, making the detection of text sentiment dif cult for systems which depend solely on these indicators (also see results in Dave, Lawrence, and Pennock 2003, Turney 2002). Our rst comparison is with the dictionary of adjectives that was derived using the SO-PMI method (Turney 2002), using Google hit counts (Taboada, Anthony, and Voll 2006).","['adverbs', 'text', 'sopmi', 'semantic', 'exclusive', 'nonaffective', 'tong', 'taboada', 'main', 'adjective', 'littman', 'velikovich', 'negative', 'argamon', 'lexiconbased', 'twoword', 'strong', 'dave', 'mutual', 'subrahmanian', 'human']","(1, ['strong'])","(1, ['negative'])"
Turney and Littman 2003,"1966; Tong 2001), or automatically, using seed words to expand the list of words (Hatzivassiloglou and McKeown 1997; Turney 2002; Turney and Littman 2003). 2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008). The association is usually calculated following Turney s method for computing mutual information (Turney 2002; Turney and Littman 2003), but see also Rao and Ravichandran (2009) and Velikovich et al.","['twoword', 'adverbs', 'exclusive', 'nonaffective', 'tong', 'adjective', 'mutual', 'littman', 'velikovich', 'argamon', 'subrahmanian', 'human']","(0, [])","(0, [])"
Voll and Taboada 2007,"In previous work (Voll and Taboada 2007), we showed a prototype for extracting topic sentences, and performing sentiment analysis on those only.",['previous'],"(0, [])","(0, [])"
Wan (2009),Wan (2009) uses co-training in a method that uses English labeled data and an English classi er to learn a classi er for Chinese.,['english'],"(0, [])","(0, [])"
"Whitelaw, Garg, and Argamon (2005)","2 With some exceptions: Turney (2002) uses two-word phrases; Whitelaw, Garg, and Argamon (2005) adjective phrases; and Benamara et al. Fletcher and Patrick (2005) used bags-of-words that included Appraisal features, and obtained 83.7% accuracy in that same data set, whereas Whitelaw, Garg, and Argamon (2005), using bags-of-words combined with Appraisal groups achieved 90.2%.","['twoword', 'exceptions', 'adjective', 'appraisal', 'argamon', 'same', 'whitelaw']","(0, [])","(0, [])"
"Whitelaw, Garg, and Argamon 2005","2007); adjectives and verbs (Kim and Hovy 2004); adjective phrases (Whitelaw, Garg, and Argamon 2005); two-word phrases (Turney 2002; Turney and Littman 2003); adjectives, verbs, and adverbs (Subrahmanian and Reforgiato 2008); the exclusive use of verbs (Sokolova and Lapalme 2008); the use of non-affective adjectives and adverbs (Sokolova and Lapalme 2009a, 2009b); or rationales, words and phrases selected by human annotators (Zaidan and Eisner 2008). 2009), and some work relies on Appraisal Theory (Whitelaw, Garg, and Argamon 2005; Bloom, Garg, and Argamon 2007), a theory developed by Martin and White (2005).","['twoword', 'adverbs', 'exclusive', 'nonaffective', 'adjective', 'littman', 'white', 'argamon', 'subrahmanian', 'human']","(0, [])","(0, [])"
